team_id,team_name
ASV,LDLC ASVEL VILLEURBANNE
BAR,FC BARCELONA LASSA
BAS,KIROLBET BASKONIA VITORIA-GASTEIZ
BER,ALBA BERLIN
BUD,BUDUCNOST VOLI PODGORICA
CAN,HERBALIFE GRAN CANARIA
CSK,CSKA MOSCOW
DAR,DARUSSAFAKA TEKFEN ISTANBUL
DYR,ZENIT ST PETERSBURG
IST,ANADOLU EFES ISTANBUL
KHI,KHIMKI MOSCOW REGION
MAD,REAL MADRID
MCO,AS MONACO
MIL,AX ARMANI EXCHANGE OLIMPIA MILAN
MUN,FC BAYERN MUNICH
OLY,OLYMPIACOS PIRAEUS
PAM,VALENCIA BASKET
PAN,PANATHINAIKOS OPAP ATHENS
PAR,PARTIZAN MOZZART BET BELGRADE
RED,CRVENA ZVEZDA MTS BELGRADE
TEL,MACCABI FOX TEL AVIV
ULK,FENERBAHCE ISTANBUL
UNK,UNICS KAZAN
VIR,VIRTUS SEGAFREDO BOLOGNA
ZAL,ZALGIRIS KAUNAS
